sheet,line,data_requirement,units,financial_year,year_start,value
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2039-40,2039,2.1196475297244155
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2040-41,2040,2.116266954113829
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2041-42,2041,2.1129841479926124
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2042-43,2042,2.109797632214636
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2043-44,2043,2.1067155687097174
Table 3,13,Measured (metered) household – Average occupancy rate (excl voids),h/prop,2044-45,2044,2.106621641558096
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2020-21,2020,2.7915548383797617
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2021-22,2021,2.79129911765808
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2022-23,2022,2.5302372291902575
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2023-24,2023,2.5323456906849757
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2024-25,2024,2.534644426137303
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2025-26,2025,2.5386130421642266
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2026-27,2026,2.542966177213869
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2027-28,2027,2.5478234600220433
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2028-29,2028,2.552349226135503
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2029-2030,2029,2.55807229593119
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2030-2031,2030,2.5629832721584265
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2031-2032,2031,2.565157164452423
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2032-33,2032,2.567192216313054
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2033-34,2033,2.5689355573828236
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2034-35,2034,2.5704654165716803
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2035-36,2035,2.571803465333507
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2036-37,2036,2.573302475518977
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2037-38,2037,2.5747403384618375
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2038-39,2038,2.5759328827859482
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2039-40,2039,2.5775828254286566
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2040-41,2040,2.579286432670362
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2041-42,2041,2.5810403573559633
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2042-43,2042,2.582842818781873
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2043-44,2043,2.584703082491822
Table 3,14,Unmeasured (unmetered) household - Average occupancy rate,h/prop,2044-45,2044,2.579065581327968
Table 3,15,Total household metering penetration (incl. voids),%,2020-21,2020,0.46
Table 3,15,Total household metering penetration (incl. voids),%,2021-22,2021,0.5093
Table 3,15,Total household metering penetration (incl. voids),%,2022-23,2022,0.5004179059192034
Table 3,15,Total household metering penetration (incl. voids),%,2023-24,2023,0.5129002455868192
Table 3,15,Total household metering penetration (incl. voids),%,2024-25,2024,0.5249725186966552
Table 3,15,Total household metering penetration (incl. voids),%,2025-26,2025,0.5363755019848727
Table 3,15,Total household metering penetration (incl. voids),%,2026-27,2026,0.5474097513851043
Table 3,15,Total household metering penetration (incl. voids),%,2027-28,2027,0.5579970260128786
Table 3,15,Total household metering penetration (incl. voids),%,2028-29,2028,0.568310981725337
Table 3,15,Total household metering penetration (incl. voids),%,2029-2030,2029,0.5780941491039444
Table 3,15,Total household metering penetration (incl. voids),%,2030-2031,2030,0.5877483372212411
Table 3,15,Total household metering penetration (incl. voids),%,2031-2032,2031,0.5974439975154033
Table 3,15,Total household metering penetration (incl. voids),%,2032-33,2032,0.6068735803943206
Table 3,15,Total household metering penetration (incl. voids),%,2033-34,2033,0.6160451999505575
Table 3,15,Total household metering penetration (incl. voids),%,2034-35,2034,0.6249725776067047
Table 3,15,Total household metering penetration (incl. voids),%,2035-36,2035,0.6336574036039068
Table 3,15,Total household metering penetration (incl. voids),%,2036-37,2036,0.6421078903473281
Table 3,15,Total household metering penetration (incl. voids),%,2037-38,2037,0.6503303957461941
Table 3,15,Total household metering penetration (incl. voids),%,2038-39,2038,0.6583319106389864
Table 3,15,Total household metering penetration (incl. voids),%,2039-40,2039,0.6661192221766897
Table 3,15,Total household metering penetration (incl. voids),%,2040-41,2040,0.673698677360376
Table 3,15,Total household metering penetration (incl. voids),%,2041-42,2041,0.6810766830296371
Table 3,15,Total household metering penetration (incl. voids),%,2042-43,2042,0.6882592230129547
Table 3,15,Total household metering penetration (incl. voids),%,2043-44,2043,0.6952518730919941
Table 3,15,Total household metering penetration (incl. voids),%,2044-45,2044,0.7020605263403521
