financial_year,year_start,hh_metered_ml_d,hh_unmetered_ml_d,leakage_l_prop_d,leakage_ml_d,metered_occupancy_h_prop,metered_properties_000,metering_penetration,nhh_metered_ml_d,nhh_unmetered_ml_d,pcc_avg_lhd,pcc_metered_lhd,pcc_unmetered_lhd,population_000,total_properties_000,unmetered_occupancy_h_prop,climate_change_supply_impact_ml_d,deployable_output_ml_d,other_supply_change_ml_d,outage_allowance_ml_d,raw_treatment_losses_ml_d,sustainability_reduction_ml_d,distribution_input_ml_d,published_sdb_ml_d,target_headroom_ml_d,total_wafu_ml_d,wafu_own_sources_ml_d,wrz,household_consumption_ml_d,non_household_consumption_ml_d,customer_consumption_ml_d,residual_other_demand_ml_d,calculated_sdb_ml_d,sdb_reconciliation_error_ml_d,di_reconciliation_error_ml_d,scenario_name,scenario_description,ramp_factor,scenario_population_000,scenario_pcc_lhd,scenario_household_consumption_ml_d,scenario_non_household_consumption_ml_d,scenario_leakage_ml_d,scenario_residual_other_demand_ml_d,scenario_distribution_input_ml_d,demand_change_vs_baseline_ml_d,demand_change_vs_baseline_pct,scenario_sdb_ml_d,sdb_improvement_vs_baseline_ml_d,deficit_flag
2040-41,2040,446.0027547002287,267.35111557253725,98.00546588484056,272.13,2.116266954113829,1774.6499168641117,0.673698677360376,238.26621402237083,4.732947889698903,124.9547300951956,118.8,136.9,5802.671492512479,2776.6818671089336,2.579286432670362,-32.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1263.541750506109,-214.13409032402208,133.74895645768882,1183.156616639776,1177.256616639776,Strategic Grid,713.3538702727659,242.99916191206967,956.3530321848356,35.05871832127366,-214.13409032402208,0.0,2.273736754432321e-13,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.7894736842105263,5802.671492512479,124.9547300951956,713.3538702727659,242.99916191206967,272.13,35.05871832127366,1263.541750506109,0.0,0.0,-214.13409032402186,2.2737367544323206e-13,Deficit
2041-42,2041,453.0834844689378,262.41279640527614,97.36169729572258,272.13,2.1129841479926124,1806.365509864268,0.6810766830296371,239.1480341523839,4.732947889698903,124.73577771992944,118.7,136.7,5829.868079959539,2795.0416596933705,2.5810403573559637,-33.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1266.5659812375702,-217.36714224272512,133.457777644931,1182.656616639776,1176.756616639776,Strategic Grid,715.4962808742139,243.8809820420828,959.3772629162968,35.058718321273545,-217.36714224272512,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.8421052631578947,5829.868079959539,124.73577771992944,715.4962808742139,243.8809820420828,272.13,35.058718321273545,1266.5659812375702,0.0,0.0,-217.36714224272515,-2.842170943040401e-14,Deficit
2042-43,2042,460.1310052707583,257.5899264460259,96.72633037234372,272.13,2.109797632214636,1837.8252267204348,0.6882592230129547,239.3856957338394,4.732947889698903,124.53149284592456,118.7,136.6,5857.141890187303,2813.401469408047,2.582842818781873,-33.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1269.028293661596,-223.27928565790407,136.4076086360843,1182.156616639776,1176.256616639776,Strategic Grid,717.7209317167842,244.1186436235383,961.8395753403224,35.05871832127332,-223.27928565790407,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.8947368421052632,5857.141890187303,124.53149284592456,717.7209317167842,244.1186436235383,272.13,35.05871832127332,1269.0282936615959,-2.2737367544323206e-13,-1.791714783499259e-16,-223.27928565790407,0.0,Deficit
2043-44,2043,467.1006111959164,252.86072646367148,96.09920171133813,272.13,2.106715568709717,1869.0334833537436,0.6952518730919941,239.63069541195853,4.732947889698903,124.32953486178106,118.6,136.4,5884.523672878968,2831.761296180394,2.584703082491822,-34.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1271.5136992825187,-229.48972506146265,139.63264241872,1181.656616639776,1175.756616639776,Strategic Grid,719.9613376595878,244.36364330165745,964.3249809612452,35.05871832127343,-229.48972506146265,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,0.9473684210526315,5884.523672878968,124.32953486178106,719.9613376595878,244.36364330165745,272.13,35.05871832127343,1271.5136992825187,0.0,0.0,-229.48972506146262,2.842170943040401e-14,Deficit
2044-45,2044,474.51474585648174,247.80362336026943,95.48015211938716,272.13,2.106621641558096,1899.9959565256145,0.7020605263403521,239.22761920747985,4.732947889698903,124.14363786304688,118.6,136.5,5912.181270052472,2850.121139938404,2.579065581327968,-34.5,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,-95.0,1273.4676546352034,-235.05135737194016,142.74031937651284,1181.156616639776,1175.256616639776,Strategic Grid,722.3183692167512,243.9605670971787,966.27893631393,35.058718321273545,-235.05135737194016,0.0,0.0,Published Baseline,Published Severn Trent baseline trajectory with no additional adjustments,1.0,5912.181270052472,124.14363786304688,722.3183692167512,243.9605670971787,272.13,35.058718321273545,1273.4676546352034,0.0,0.0,-235.05135737194018,-2.842170943040401e-14,Deficit
2020-21,2020,293.2714825526864,462.845367200404,119.73414022623872,286.08219902588684,2.3707809616323723,1034.4383369736977,0.46,178.63009817655984,1.0187867859152795,135.9944923771094,119.58419826592674,148.94551011637424,5776.814061638896,2389.311841095046,2.7915548383797617,0.0,1457.5003124364475,0.0,34.22718361689675,52.713946583366585,0.0,1278.8418746127709,38.3104879861002,24.50681963731297,1341.659182236184,1362.559182236184,Strategic Grid,756.1168497530905,179.6488849624751,935.7657347155656,56.99394087131844,38.3104879861002,0.0,0.0,PCC 110,Illustrative household efficiency case reaching 110 litres per head per day by 2044-45,0.0,5776.814061638896,135.9944923771094,756.1168497530905,179.6488849624751,286.08219902588684,56.99394087131844,1278.8418746127709,0.0,0.0,38.3104879861002,0.0,Surplus
2021-22,2021,288.9505801353781,440.7652302905986,116.06906346612524,277.80420474978416,2.370525240910691,1066.8334219112237,0.5093,209.69570993492985,1.100584480100717,129.93422495508386,114.25688348797978,142.77718403777314,5709.813043939368,2393.4388410987854,2.79129911765808,0.0,1447.50031243645,0.0,50.87830895166869,38.08,0.0,1264.08413261521,51.60992822625093,21.947942643317955,1337.6420034847788,1358.542003484779,Strategic Grid,729.7158104259768,210.79629441503056,940.5121048410074,45.76782302441836,51.60992822625093,0.0,0.0,PCC 110,Illustrative household efficiency case reaching 110 litres per head per day by 2044-45,0.0,5709.813043939368,129.93422495508386,729.7158104259768,210.79629441503056,277.80420474978416,45.76782302441836,1264.08413261521,0.0,0.0,51.60992822625093,0.0,Surplus
2022-23,2022,300.720949170895,377.3681485678252,111.02966300082988,272.13,2.171906553723744,1158.161447666915,0.5004179059192034,234.53635377957315,4.732947889698903,130.84891417157252,119.6,141.5,5276.002459310545,2450.966639410281,2.530237229190257,-12.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1224.5471177292657,-38.19699091001157,112.30648982052196,1298.656616639776,1292.756616639776,Strategic Grid,678.0890977387202,239.26930166927204,917.3583994079922,35.05871832127343,-38.19699091001157,0.0,0.0,PCC 110,Illustrative household efficiency case reaching 110 litres per head per day by 2044-45,0.0,5276.002459310545,130.84891417157252,678.0890977387202,239.26930166927204,272.13,35.05871832127343,1224.5471177292657,0.0,0.0,-38.19699091001155,2.1316282072803006e-14,Deficit
2023-24,2023,310.1711028811108,369.8879465019877,110.13134847515396,272.13,2.167878691539847,1197.1358536665373,0.5129002455868192,235.24731654386596,4.732947889698903,130.39499960245757,119.5,141.2,5309.149751075058,2470.958575989774,2.532345690684976,-14.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1227.228032137937,-61.83512089915379,131.2637054009932,1296.656616639776,1290.756616639776,Strategic Grid,680.0590493830985,239.98026443356483,920.0393138166633,35.05871832127343,-61.83512089915379,0.0,0.0,PCC 110,Illustrative household efficiency case reaching 110 litres per head per day by 2044-45,0.0,5309.149751075058,130.39499960245757,680.0590493830985,239.98026443356483,272.13,35.05871832127343,1227.2280321379367,-2.2737367544323206e-13,-1.8527418661316556e-16,-61.83512089915379,0.0,Deficit
2024-25,2024,319.5805349444884,362.6246871980567,109.25698843372982,272.13,2.164075559192505,1235.5218396926846,0.5249725186966552,235.1241940564701,4.732947889698903,129.98676907815624,119.5,140.9,5342.039627293122,2490.733122898233,2.534644426137303,-16.0,1428.8163127490143,0.0,124.05969610923822,37.42654938426684,0.0,1229.2510824099872,-83.11021488538009,148.51574911516892,1294.656616639776,1288.756616639776,Strategic Grid,682.205222142545,239.85714194616895,922.062364088714,35.058718321273204,-83.11021488538009,0.0,0.0,PCC 110,Illustrative household efficiency case reaching 110 litres per head per day by 2044-45,0.0,5342.039627293122,129.98676907815624,682.205222142545,239.85714194616895,272.13,35.058718321273204,1229.2510824099872,0.0,0.0,-83.11021488538009,0.0,Deficit
